filename,path,label,mean_intensity,std_dev,variance,skewness,kurtosis,range_intensity,min_intensity,max_intensity,entropy_shannon,entropy_local,edge_density,edge_magnitude_mean,edge_magnitude_std,edge_orientation_std,haralick_contrast,haralick_dissimilarity,haralick_homogeneity,haralick_energy,haralick_correlation,haralick_asm,lbp_uniform_mean,lbp_variance,lbp_entropy,fractal_dim_higuchi,fractal_dim_katz,fractal_dim_dfa,fractal_dim_boxcount,lacunarity,wavelet_energy_approx,wavelet_energy_horizontal,wavelet_energy_vertical,wavelet_energy_diagonal,wavelet_entropy,tamura_coarseness,tamura_contrast,tamura_directionality,area_coverage,circularity,solidity,perimeter_complexity,fractal_equation,fractal_hurst_exponent,fractal_amplitude_scaling,fractal_goodness_of_fit,fractal_fitting_success,fractal_overlay_path
pique_polo_20250726_210936.jpg,capture/images/pique_polo/pique_polo_20250726_210936.jpg,pique_polo,99.149872,21.924878,480.700256,0.76034,0.452512,179,50,229,6.403431,6.403431,0.129639,0.045755,0.041053,1.781329,161.730919,7.888389,0.188564,0.026018,0.864298,0.000691,0.103916,4.108191,2.872791,1.435183,3.604515,1.57825,1.840601,1.011839,0.998088,0.000678,0.00094,0.000294,14.26893,411.88605,0.221129,1.784544,0.650055,0.07016,0.698399,13.383225,"fBm(H=0.900, σ=1.000)",0.9,0.999994,0.985522,1.0,fractal_overlays/pique_polo_20250726_210936_fractal_overlay_20250726_211033.png
pique_polo_20250726_210941.jpg,capture/images/pique_polo/pique_polo_20250726_210941.jpg,pique_polo,98.830551,22.045244,485.992787,0.76573,0.452163,170,51,221,6.410038,6.410038,0.129105,0.045841,0.041268,1.783509,174.447715,8.189689,0.184646,0.025959,0.865072,0.000687,0.103756,4.14298,2.875595,1.435271,3.686797,1.577685,1.844638,1.01215,0.998074,0.000681,0.000945,0.0003,14.270045,416.78238,0.223061,1.786044,0.602989,0.036452,0.622039,18.56705,"fBm(H=0.900, σ=1.000)",0.9,1.0,0.985779,1.0,fractal_overlays/pique_polo_20250726_210941_fractal_overlay_20250726_211110.png
pique_polo_20250726_210946.jpg,capture/images/pique_polo/pique_polo_20250726_210946.jpg,pique_polo,96.975098,21.777114,474.242697,0.773137,0.461298,171,48,219,6.389429,6.389429,0.126999,0.045375,0.040898,1.78402,174.60397,8.186815,0.185389,0.026335,0.864164,0.000708,0.10386,4.167592,2.886654,1.436762,3.688183,1.575387,1.845757,1.012271,0.998028,0.000697,0.000974,0.000301,14.271864,406.3944,0.224564,1.786764,0.553123,0.026961,0.570405,21.589291,"fBm(H=0.900, σ=1.000)",0.9,1.0,0.992454,1.0,fractal_overlays/pique_polo_20250726_210946_fractal_overlay_20250726_211147.png
pique_polo_20250726_210951.jpg,capture/images/pique_polo/pique_polo_20250726_210951.jpg,pique_polo,97.825043,22.166585,491.357513,0.765317,0.422531,173,49,222,6.415296,6.415296,0.130493,0.04587,0.041139,1.782986,171.609415,8.148825,0.184815,0.025933,0.867467,0.000686,0.103865,4.136712,2.874575,1.43217,3.662102,1.581671,1.842988,1.012562,0.998065,0.000688,0.000954,0.000293,14.269761,422.12656,0.226594,1.785254,0.493996,0.020836,0.530891,24.558462,"fBm(H=0.900, σ=1.000)",0.9,0.999989,0.992908,1.0,fractal_overlays/pique_polo_20250726_210951_fractal_overlay_20250726_211223.png
pique_polo_20250726_210956.jpg,capture/images/pique_polo/pique_polo_20250726_210956.jpg,pique_polo,98.545319,22.288175,496.762747,0.754164,0.392525,178,49,227,6.425965,6.425965,0.1306,0.046033,0.041132,1.778026,164.527808,7.988171,0.186953,0.025712,0.868689,0.000674,0.103958,4.114166,2.873616,1.429953,3.609733,1.583404,1.840575,1.012465,0.998096,0.00067,0.000955,0.000279,14.267872,427.16797,0.226172,1.780904,0.496284,0.02071,0.512023,24.632615,"fBm(H=0.900, σ=1.000)",0.9,0.999996,0.988354,1.0,fractal_overlays/pique_polo_20250726_210956_fractal_overlay_20250726_211300.png
ponte_20250728_182026.jpg,capture/images/ponte/ponte_20250728_182026.jpg,ponte,39.836349,42.150481,1776.663053,1.538806,1.81837,250,0,250,6.602823,6.602823,0.373184,0.214206,0.138468,1.905975,3177.651249,38.968558,0.062658,0.020115,0.136671,0.000417,0.094669,8.35134,3.277651,2.022355,6.157884,0.705532,1.934615,1.041227,0.772316,0.051702,0.14055,0.035432,15.253951,744.418,1.058091,1.905799,0.011375,0.045376,0.543169,16.641416,"fBm(H=0.900, σ=1.000)",0.9,1.000005,0.969912,1.0,fractal_overlays/ponte_20250728_182026_fractal_overlay_20250728_182123.png
ponte_20250728_182030.jpg,capture/images/ponte/ponte_20250728_182030.jpg,ponte,38.925232,41.470363,1719.79098,1.574929,1.967924,249,0,249,6.571551,6.571551,0.374817,0.209705,0.136311,1.905416,3118.639762,38.452275,0.063561,0.020433,0.13226,0.00043,0.094696,8.369492,3.275569,2.022454,6.101621,0.706183,1.935474,1.039958,0.765836,0.054731,0.141094,0.03834,15.266611,715.37683,1.065385,1.905115,0.009583,0.028321,0.451312,21.064392,"fBm(H=0.900, σ=1.000)",0.9,0.999999,0.965046,1.0,fractal_overlays/ponte_20250728_182030_fractal_overlay_20250728_182200.png
ponte_20250728_182035.jpg,capture/images/ponte/ponte_20250728_182035.jpg,ponte,39.069977,41.594959,1730.140642,1.574919,1.975099,244,0,244,6.576439,6.576439,0.37355,0.210158,0.136998,1.908217,3271.094703,39.392228,0.063174,0.020338,0.133594,0.000426,0.094647,8.367769,3.277148,2.022595,6.126575,0.706685,1.933436,1.040575,0.766353,0.054463,0.141303,0.037881,15.261153,721.1864,1.064627,1.908049,0.010986,0.050891,0.531954,15.713847,"fBm(H=0.900, σ=1.000)",0.9,0.999998,0.96268,1.0,fractal_overlays/ponte_20250728_182035_fractal_overlay_20250728_182237.png
ponte_20250728_182040.jpg,capture/images/ponte/ponte_20250728_182040.jpg,ponte,39.989151,42.346944,1793.26363,1.552405,1.853341,245,0,245,6.605998,6.605998,0.374207,0.214188,0.139406,1.908834,3356.445797,39.967517,0.062579,0.019952,0.134944,0.00041,0.094823,8.330237,3.27709,2.023014,6.277388,0.704964,1.934548,1.041225,0.769083,0.052825,0.141498,0.036594,15.25957,749.56213,1.058961,1.908029,0.012741,0.03318,0.409715,19.461181,"fBm(H=0.900, σ=1.000)",0.9,0.999998,0.960554,1.0,fractal_overlays/ponte_20250728_182040_fractal_overlay_20250728_182314.png
ponte_20250728_182045.jpg,capture/images/ponte/ponte_20250728_182045.jpg,ponte,39.841141,42.284415,1787.971727,1.561832,1.900375,246,0,246,6.598723,6.598723,0.373734,0.213821,0.139166,1.907858,3327.181769,39.757579,0.062807,0.020091,0.132565,0.000416,0.094759,8.353118,3.27696,2.022289,6.25209,0.707013,1.934808,1.039649,0.766753,0.054167,0.141707,0.037373,15.262064,744.3692,1.061325,1.906994,0.011459,0.038759,0.417106,18.006091,"fBm(H=0.900, σ=1.000)",0.9,1.0,0.96886,1.0,fractal_overlays/ponte_20250728_182045_fractal_overlay_20250728_182352.png
flannel_20250728_182712.jpg,capture/images/flannel/flannel_20250728_182712.jpg,flannel,103.856491,19.617585,384.84966,0.067407,0.010557,169,19,188,6.337189,6.337188,0.271744,0.077108,0.047566,1.942806,587.237036,18.405463,0.061584,0.017059,0.584115,0.000293,0.09405,8.303235,3.280994,1.751362,4.877946,1.133819,1.937721,1.005311,0.994741,0.001215,0.003172,0.000872,14.558497,256.33493,0.188891,1.94372,0.22998,0.017059,0.615976,27.140825,"fBm(H=0.900, σ=1.000)",0.9,0.999999,0.985174,1.0,fractal_overlays/flannel_20250728_182712_fractal_overlay_20250728_182809.png
flannel_20250728_182717.jpg,capture/images/flannel/flannel_20250728_182717.jpg,flannel,104.786163,19.951975,398.081288,0.073336,-0.002624,172,18,190,6.362017,6.362016,0.269348,0.077565,0.04784,1.941951,582.260577,18.32776,0.062307,0.016831,0.593275,0.000285,0.093992,8.299678,3.280033,1.750577,4.801726,1.135429,1.936698,1.005935,0.994789,0.001187,0.003173,0.000852,14.555228,268.02615,0.190407,1.942716,0.241364,0.042151,0.64034,17.266266,"fBm(H=0.900, σ=1.000)",0.9,1.0,0.987176,1.0,fractal_overlays/flannel_20250728_182717_fractal_overlay_20250728_182845.png
flannel_20250728_182722.jpg,capture/images/flannel/flannel_20250728_182722.jpg,flannel,103.183273,19.832521,393.328883,0.072194,0.003573,171,20,191,6.35295,6.352949,0.269958,0.076995,0.047496,1.947106,565.159071,18.056875,0.062797,0.016956,0.594822,0.00029,0.094072,8.281701,3.280226,1.75029,4.786862,1.136506,1.932997,1.006188,0.99474,0.001196,0.003192,0.000873,14.557061,265.45657,0.192207,1.946838,0.155579,0.030025,0.616426,20.457969,"fBm(H=0.900, σ=1.000)",0.9,1.0,0.98502,1.0,fractal_overlays/flannel_20250728_182722_fractal_overlay_20250728_182922.png
flannel_20250728_182727.jpg,capture/images/flannel/flannel_20250728_182727.jpg,flannel,103.869904,19.886918,395.489514,0.06644,-0.000796,177,15,192,6.356627,6.356627,0.269897,0.077506,0.047771,1.947867,568.966647,18.124165,0.062882,0.016881,0.592023,0.000287,0.094048,8.294326,3.279746,1.750304,4.781523,1.135648,1.937264,1.005878,0.994719,0.001208,0.003207,0.000866,14.557312,265.8494,0.19146,1.94803,0.16433,0.032937,0.605487,19.532615,"fBm(H=0.900, σ=1.000)",0.9,0.999996,0.983612,1.0,fractal_overlays/flannel_20250728_182727_fractal_overlay_20250728_182958.png
flannel_20250728_182732.jpg,capture/images/flannel/flannel_20250728_182732.jpg,flannel,105.50238,20.340467,413.734583,0.060659,-0.027988,178,16,194,6.389212,6.389212,0.269379,0.078522,0.048293,1.945762,564.054538,18.042338,0.063112,0.016584,0.604297,0.000277,0.09434,8.19163,3.279422,1.742063,4.823079,1.148615,1.933782,1.006149,0.994949,0.001138,0.003106,0.000807,14.549469,281.29535,0.192796,1.946592,0.207138,0.022368,0.53899,23.702201,"fBm(H=0.900, σ=1.000)",0.9,0.999997,0.977578,1.0,fractal_overlays/flannel_20250728_182732_fractal_overlay_20250728_183035.png
denim_20250728_183704.jpg,capture/images/denim/denim_20250728_183704.jpg,denim,45.308212,34.273677,1174.684958,1.092628,0.529122,197,1,198,6.765094,6.765094,0.257843,0.144889,0.1041,2.067649,1779.659747,30.258834,0.053274,0.015122,0.542968,0.000234,0.098863,6.657139,3.189076,1.769401,5.130894,1.128514,1.8956,1.040543,0.958266,0.004893,0.033093,0.003748,14.763022,722.1319,0.756456,2.065756,0.005989,0.050983,0.431556,15.69971,"fBm(H=0.900, σ=1.000)",0.9,1.000002,0.969289,1.0,fractal_overlays/denim_20250728_183704_fractal_overlay_20250728_183800.png
denim_20250728_183709.jpg,capture/images/denim/denim_20250728_183709.jpg,denim,43.325851,33.06776,1093.476783,1.13809,0.67734,197,1,198,6.699713,6.699714,0.255524,0.138899,0.101074,2.063853,1649.74769,28.979573,0.056419,0.016013,0.544748,0.000263,0.098789,6.673241,3.191901,1.769957,5.336979,1.130439,1.894411,1.043347,0.958088,0.004997,0.03315,0.003766,14.759607,674.0737,0.763234,2.062661,0.007645,0.030724,0.312539,20.224081,"fBm(H=0.900, σ=1.000)",0.9,1.0,0.975059,1.0,fractal_overlays/denim_20250728_183709_fractal_overlay_20250728_183837.png
denim_20250728_183714.jpg,capture/images/denim/denim_20250728_183714.jpg,denim,43.930115,33.422863,1117.087798,1.098616,0.566951,195,0,195,6.727585,6.727585,0.257126,0.140896,0.101383,2.067932,1733.515149,29.86255,0.054095,0.015589,0.546093,0.000249,0.098801,6.675193,3.189248,1.76842,5.405826,1.130315,1.89837,1.042399,0.958703,0.004874,0.032717,0.003706,14.758497,688.8244,0.760819,2.067221,0.005844,0.069616,0.501309,13.435406,"fBm(H=0.900, σ=1.000)",0.9,0.999997,0.972769,1.0,fractal_overlays/denim_20250728_183714_fractal_overlay_20250728_183913.png
denim_20250728_183719.jpg,capture/images/denim/denim_20250728_183719.jpg,denim,41.251831,31.386597,985.118466,1.224467,0.937134,197,1,198,6.605357,6.605357,0.250809,0.130719,0.097625,2.061021,1493.225506,27.25611,0.061011,0.017277,0.542458,0.000306,0.099174,6.591583,3.189994,1.772219,5.278595,1.131704,1.889339,1.043506,0.95765,0.005007,0.033555,0.003788,14.758585,606.47266,0.760853,2.0601,0.00721,0.052077,0.445965,15.53402,"fBm(H=0.900, σ=1.000)",0.9,1.000002,0.971055,1.0,fractal_overlays/denim_20250728_183719_fractal_overlay_20250728_183950.png
denim_20250728_183724.jpg,capture/images/denim/denim_20250728_183724.jpg,denim,40.498627,30.728205,944.222563,1.262736,1.071731,195,1,196,6.572192,6.572192,0.249496,0.127487,0.096466,2.056353,1465.546439,26.844197,0.062423,0.017647,0.540792,0.000319,0.099046,6.570238,3.185359,1.772831,5.233251,1.131087,1.888805,1.04367,0.957511,0.005007,0.033701,0.003781,14.755938,580.5971,0.758747,2.054956,0.006775,0.04472,0.424677,16.763096,"fBm(H=0.900, σ=1.000)",0.9,1.0,0.979062,1.0,fractal_overlays/denim_20250728_183724_fractal_overlay_20250728_184028.png
linen_20250728_190201.jpg,capture/images/linen/linen_20250728_190201.jpg,linen,100.513702,25.070977,628.553889,0.265762,-0.378449,156,30,186,6.670166,6.670166,0.314453,0.100349,0.056598,1.885473,793.986996,21.557318,0.054081,0.014104,0.663433,0.000204,0.103634,4.568424,2.964485,1.834125,4.765206,1.002082,1.915464,1.019517,0.996816,0.000467,0.002576,0.000141,14.397717,451.9802,0.249428,1.89206,0.43679,0.020045,0.661716,25.038079,"fBm(H=0.900, σ=1.000)",0.9,0.999999,0.990894,1.0,fractal_overlays/linen_20250728_190201_fractal_overlay_20250728_190258.png
linen_20250728_190206.jpg,capture/images/linen/linen_20250728_190206.jpg,linen,102.367126,26.149621,683.802657,0.261087,-0.417382,161,29,190,6.72847,6.72847,0.314316,0.099809,0.056046,1.889584,749.769248,20.97329,0.055684,0.013775,0.695263,0.000195,0.103745,4.531883,2.958145,1.834724,4.661041,1.002961,1.911012,1.023711,0.997033,0.000437,0.0024,0.000131,14.386573,509.6683,0.255449,1.895166,0.417465,0.012027,0.53097,32.324182,"fBm(H=0.900, σ=1.000)",0.9,0.999998,0.979649,1.0,fractal_overlays/linen_20250728_190206_fractal_overlay_20250728_190335.png
linen_20250728_190211.jpg,capture/images/linen/linen_20250728_190211.jpg,linen,98.29985,24.78813,614.451395,0.243161,-0.430969,164,28,192,6.652278,6.652278,0.314651,0.097531,0.054763,1.888511,702.727148,20.299486,0.057348,0.014312,0.675837,0.000211,0.103709,4.546171,2.959569,1.837016,4.615535,1.000437,1.913194,1.021685,0.99688,0.000463,0.002517,0.00014,14.394682,448.39935,0.252169,1.894485,0.454506,0.016272,0.577325,27.789598,"fBm(H=0.900, σ=1.000)",0.9,1.0,0.978249,1.0,fractal_overlays/linen_20250728_190211_fractal_overlay_20250728_190412.png
linen_20250728_190216.jpg,capture/images/linen/linen_20250728_190216.jpg,linen,103.089981,25.752932,663.213507,0.2255,-0.438456,165,30,195,6.709069,6.709069,0.316208,0.101671,0.057094,1.889576,740.345014,20.835958,0.055684,0.013761,0.673336,0.000195,0.103628,4.571331,2.965141,1.837163,4.72785,0.998952,1.912938,1.0208,0.996895,0.000458,0.002508,0.000139,14.395,482.64227,0.24981,1.89501,0.465553,0.015949,0.591501,28.069633,"fBm(H=0.900, σ=1.000)",0.9,0.999998,0.980612,1.0,fractal_overlays/linen_20250728_190216_fractal_overlay_20250728_190448.png
linen_20250728_190221.jpg,capture/images/linen/linen_20250728_190221.jpg,linen,106.920181,25.58413,654.547691,0.181701,-0.458354,169,33,202,6.703451,6.703451,0.315689,0.103974,0.058125,1.890922,719.812623,20.567393,0.056205,0.013632,0.654755,0.000191,0.103695,4.559882,2.963113,1.838209,4.771327,0.998098,1.920426,1.017495,0.996987,0.000446,0.002431,0.000136,14.393938,466.48816,0.239283,1.897183,0.509155,0.020002,0.613208,25.06478,"fBm(H=0.900, σ=1.000)",0.9,1.0,0.985435,1.0,fractal_overlays/linen_20250728_190221_fractal_overlay_20250728_190525.png
polyester_20250824_183940.jpg,capture/images/polyester/polyester_20250824_183940.jpg,polyester,69.497498,22.123327,489.441614,1.746184,3.835719,182,33,215,6.139239,6.139238,0.34845,0.100743,0.068167,1.843326,1049.948654,21.824828,0.081034,0.021271,0.23745,0.000456,0.095079,8.293381,3.287916,1.948456,4.874828,0.869685,1.931862,1.015917,0.961365,0.007717,0.025284,0.005633,14.937637,243.56757,0.318333,1.84338,0.257744,0.016507,0.655548,27.591363,"fBm(H=0.900, σ=1.000)",0.9,1.000003,0.826144,1.0,fractal_overlays/polyester_20250824_183940_fractal_overlay_20250824_184037.png
polyester_20250824_183945.jpg,capture/images/polyester/polyester_20250824_183945.jpg,polyester,68.788483,21.876064,478.562194,1.762644,3.882085,172,33,205,6.111359,6.111358,0.347427,0.099881,0.067638,1.846741,1134.80647,22.697299,0.078511,0.02166,0.234765,0.000473,0.095322,8.255542,3.290546,1.948177,4.931536,0.870451,1.933021,1.015481,0.961352,0.007759,0.025333,0.005556,14.936805,237.19653,0.318019,1.846589,0.259018,0.014541,0.635351,29.397788,"fBm(H=0.900, σ=1.000)",0.9,1.000013,0.829266,1.0,fractal_overlays/polyester_20250824_183945_fractal_overlay_20250824_184114.png
polyester_20250824_183950.jpg,capture/images/polyester/polyester_20250824_183950.jpg,polyester,69.715973,21.846955,477.289446,1.790779,3.963153,169,35,204,6.090782,6.090782,0.348083,0.100541,0.068229,1.844675,1156.793626,22.875725,0.078711,0.022056,0.224129,0.000491,0.094981,8.251856,3.287119,1.947883,5.021804,0.873295,1.93283,1.013907,0.962041,0.007667,0.024926,0.005366,14.932871,233.13773,0.313371,1.84511,0.237541,0.01658,0.647243,27.530544,"fBm(H=0.900, σ=1.000)",0.9,0.999988,0.828278,1.0,fractal_overlays/polyester_20250824_183950_fractal_overlay_20250824_184151.png
polyester_20250824_183955.jpg,capture/images/polyester/polyester_20250824_183955.jpg,polyester,69.868408,21.846052,477.249987,1.799572,3.960473,172,35,207,6.080823,6.080823,0.348557,0.101112,0.068372,1.845527,1140.103355,22.745208,0.078713,0.022175,0.213422,0.000496,0.095064,8.263208,3.288354,1.949591,4.985023,0.868865,1.933549,1.012996,0.961493,0.007798,0.025192,0.005517,14.937725,229.90724,0.312674,1.845861,0.237022,0.011353,0.613306,33.269353,"fBm(H=0.900, σ=1.000)",0.9,0.999993,0.824379,1.0,fractal_overlays/polyester_20250824_183955_fractal_overlay_20250824_184228.png
polyester_20250824_184000.jpg,capture/images/polyester/polyester_20250824_184000.jpg,polyester,69.304199,21.73736,472.51281,1.793935,3.97248,170,34,204,6.082141,6.082141,0.348175,0.100292,0.067818,1.843763,1152.65887,22.846862,0.077726,0.022118,0.219309,0.000493,0.095101,8.251717,3.289135,1.948656,4.992498,0.870866,1.931438,1.013611,0.961619,0.007739,0.0252,0.005441,14.93611,229.52438,0.313651,1.843891,0.241661,0.022643,0.660157,23.557994,"fBm(H=0.900, σ=1.000)",0.9,0.999997,0.824534,1.0,fractal_overlays/polyester_20250824_184000_fractal_overlay_20250824_184304.png
silk_20250824_185537.jpg,capture/images/silk/silk_20250824_185537.jpg,silk,30.822617,22.180028,491.953627,2.526256,8.940097,236,2,238,5.906146,5.906146,0.343506,0.099614,0.070424,1.808724,991.778563,20.045335,0.085082,0.024826,0.122576,0.00062,0.094537,8.222845,3.254881,1.959268,4.379144,0.930114,1.934517,1.013975,0.827148,0.057496,0.06981,0.045547,15.269641,198.39723,0.719602,1.810621,0.01078,0.002386,0.133126,72.578919,"fBm(H=0.236, σ=1.000)",0.235644,1.000115,0.87366,1.0,fractal_overlays/silk_20250824_185537_fractal_overlay_20250824_185634.png
silk_20250824_185541.jpg,capture/images/silk/silk_20250824_185541.jpg,silk,29.358688,18.378402,337.765645,3.120669,14.547344,244,3,247,5.559215,5.559215,0.293411,0.079236,0.06282,1.809183,630.992849,14.990446,0.114782,0.03248,0.127415,0.00106,0.096056,7.71192,3.256798,1.958755,3.916252,0.943267,1.92313,1.011111,0.857183,0.044177,0.062154,0.036487,15.189065,136.69711,0.625995,1.81003,0.004311,0.005311,0.120238,48.641918,"fBm(H=0.900, σ=1.000)",0.9,1.0,0.897786,1.0,fractal_overlays/silk_20250824_185541_fractal_overlay_20250824_185711.png
silk_20250824_185547.jpg,capture/images/silk/silk_20250824_185547.jpg,silk,29.447495,18.399505,338.541768,3.123661,14.50116,245,3,248,5.556828,5.556828,0.297409,0.079289,0.062836,1.811373,627.547777,14.875536,0.116832,0.032685,0.124865,0.001074,0.09593,7.72488,3.25678,1.959127,3.904967,0.943388,1.922562,1.010862,0.856811,0.044356,0.062412,0.036421,15.188233,136.74623,0.624824,1.811492,0.004555,0.007455,0.153234,41.056252,"fBm(H=0.900, σ=1.000)",0.9,0.999997,0.895498,1.0,fractal_overlays/silk_20250824_185547_fractal_overlay_20250824_185747.png
silk_20250824_185551.jpg,capture/images/silk/silk_20250824_185551.jpg,silk,29.570404,18.858763,355.652941,3.125016,14.383681,249,3,252,5.588717,5.588717,0.299347,0.08102,0.064061,1.808979,630.348855,14.9192,0.114237,0.031848,0.125793,0.001019,0.095715,7.764721,3.255281,1.959101,3.915305,0.942849,1.924865,1.011714,0.851124,0.047065,0.06341,0.038401,15.198951,143.66682,0.637758,1.810088,0.006157,0.004324,0.119857,53.910804,"fBm(H=0.710, σ=1.000)",0.710298,0.999931,0.905971,1.0,fractal_overlays/silk_20250824_185551_fractal_overlay_20250824_185824.png
silk_20250824_185556.jpg,capture/images/silk/silk_20250824_185556.jpg,silk,29.534073,18.694069,349.46823,3.116551,14.303704,242,3,245,5.573567,5.573567,0.296127,0.080376,0.063864,1.809756,662.916001,15.386796,0.110931,0.032256,0.128479,0.001046,0.095857,7.774432,3.257054,1.959896,3.966261,0.939965,1.923661,1.01157,0.853322,0.045441,0.063532,0.037705,15.19529,141.22603,0.632966,1.811892,0.004013,0.006688,0.15304,43.345776,"fBm(H=0.900, σ=1.000)",0.9,0.999998,0.883023,1.0,fractal_overlays/silk_20250824_185556_fractal_overlay_20250824_185900.png
satin_20250824_190048.jpg,capture/images/satin/satin_20250824_190048.jpg,satin,28.627258,33.475705,1120.622813,2.004068,5.200706,253,0,253,6.118103,6.118103,0.299301,0.159442,0.124781,1.69764,1405.085397,24.073591,0.116057,0.03855,0.375534,0.001531,0.098891,6.821095,3.197185,1.810706,4.050466,1.25546,1.912613,1.072445,0.868296,0.071257,0.04529,0.015157,15.001406,548.9009,1.169365,1.697904,0.002136,0.061455,0.43956,14.299668,"fBm(H=0.900, σ=1.000)",0.9,1.000006,0.85184,1.0,fractal_overlays/satin_20250824_190048_fractal_overlay_20250824_190145.png
satin_20250824_190053.jpg,capture/images/satin/satin_20250824_190053.jpg,satin,26.494965,38.006503,1444.494237,2.36581,6.255921,252,0,252,5.82403,5.82403,0.276932,0.177017,0.154962,1.693018,1985.12282,26.227302,0.147165,0.052805,0.323385,0.002855,0.098741,6.814748,3.183188,1.834844,4.182501,1.235319,1.885055,1.086906,0.808283,0.102502,0.067676,0.02154,15.01891,667.12805,1.43448,1.693146,0.000465,0.118507,0.317708,10.297546,"fBm(H=0.900, σ=1.000)",0.9,0.999997,0.898546,1.0,fractal_overlays/satin_20250824_190053_fractal_overlay_20250824_190222.png
